model,cv_roc_auc,waga
logreg,0.9339819666205218,0.24237498485045553
rf,0.9692332572954461,0.25152294631935745
xgboost,0.9767715231883827,0.25347918010854964
svm_rbf,0.9734718397906017,0.25262288872163746
