model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC
logreg,0.8490437158469946,0.7095070422535211,0.8779956427015251,0.7848101265822784,0.9275517835658309,0.8448576316817871
rf,0.9193989071038251,0.8797327394209354,0.8605664488017429,0.8700440528634361,0.971681895533227,0.9421802324133773
xgboost,0.9310109289617486,0.8824786324786325,0.8997821350762527,0.8910463861920173,0.9747818640999795,0.945754752635497
svm_rbf,0.9187158469945356,0.8256704980842912,0.9389978213507625,0.8786952089704383,0.973704462437269,0.9423190890168714
hybrid,0.9289617486338798,0.880085653104925,0.8954248366013072,0.8876889848812095,0.9733684518583553,0.950674169922291
